gene,logfoldchanges,pvals_adj
CXCL14,3.3235416,3.0235272e-316
S100A11,2.3962312,3.45E-267
CCND1,2.3295462,6.87E-248
DEGS1,2.986262,7.59E-240
RPL8,2.3882105,6.90E-218
GFRA1,2.43949,1.86E-198
DEGS2,2.1473389,2.69E-195
AGR2,2.2128663,3.00E-186
GNG5,2.2685328,2.24E-185
TTLL12,2.9283705,1.04E-180
IGHE,3.1219406,9.73E-162
SIRLNT,3.705204,1.34E-157
CRAT,2.8243194,3.09E-154
PRKACB,2.9820611,1.23E-148
MT1E,2.2796168,1.65E-146
BMERB1,3.9813197,5.23E-136
SPAG6,4.827888,3.34E-117
IL20,2.9900799,3.08E-126
FBN2,3.405454,1.74E-121
SH3BGRL,2.4674504,2.95E-125
ARPP21,4.8813667,1.81E-104
ARMT1,2.8176756,1.50E-112
ASCL2,2.729851,7.02E-117
RMND1,3.354407,3.98E-109
DNAJC1,2.560449,1.09E-112
PFKFB3,2.5907,1.09E-111
BRINP3,4.5998793,1.57E-101
SUSD3,3.3015318,3.96E-100
Z82214.2,4.811071,1.06E-88
SHISA2,2.2452147,1.12E-89
PHGR1,2.8683708,3.95E-87
CCNO,3.982803,1.74E-79
EPPK1,3.1509843,2.70E-81
NPNT,2.2868867,2.05E-82
SLC39A4,2.1505075,2.72E-82
SPP1,2.5476148,4.44E-73
NUAK1,3.1413186,8.19E-74
TUFT1,2.2500525,4.05E-73
LMCD1,2.6756506,4.42E-69
MT1G,2.2430336,6.46E-67
KCNK15,2.238688,7.13E-66
ATP8A2,3.143399,1.99E-64
ALDOA,2.0047255,1.66E-62
SNX22,2.4501598,2.84E-61
C12orf75,2.2931786,5.41E-61
PMP22,2.038866,1.23E-59
NKAIN1,3.0223954,4.96E-56
SCUBE2,2.1804218,1.00E-55
PEG10,3.2216222,1.45E-50
PYDC1,2.4615495,8.67E-47
C2orf27A,2.4280572,5.77E-47
PTK7,2.1152472,2.24E-46
EYA2,2.6568992,2.62E-45
DSCAM-AS1,2.0505123,2.06E-45
NEURL3,3.2571328,4.34E-42
SAMD11,2.2640786,2.16E-42
MYEOV,3.397159,1.37E-40
RIMS4,2.0464437,6.14E-41
PDZK1IP1,2.3080738,2.76E-40
VSIG10L2,3.3989727,1.35E-38
FANCC,2.5052476,1.75E-39
PHYHD1,2.380515,6.84E-38
AR,2.041906,2.13E-35
AC027601.6,2.258969,1.04E-34
LINC01138,2.869024,7.94E-34
PTCH1,3.5762806,1.15E-32
KIF26B,2.4048808,9.33E-33
SSTR2,3.9805608,1.41E-31
COL11A1,2.0366542,6.22E-32
RDH16,2.1623156,3.86E-31
NAGS,2.3293357,8.94E-31
AC245297.3,3.3777165,3.61E-28
LINC00607,3.7039692,1.21E-27
SLC25A48,2.4479647,1.23E-25
SCNN1G,2.2654057,1.52E-25
TCL1B,4.4211507,9.29E-25
CBLN2,2.6246893,4.98E-23
LINC02762,3.171606,9.33E-22
GLYATL1,3.7686727,4.76E-21
EDN2,2.8759384,5.15E-21
SLC43A1,2.024633,3.36E-21
PALD1,2.0793176,9.17E-21
DNAJC22,3.0765753,2.24E-20
AC092171.3,3.067572,2.69E-20
ASPN,2.198893,2.39E-20
FHL2,2.0491405,4.50E-20
HIST2H4A,2.3044283,3.28E-19
ITGA11,2.0792546,2.13E-17
MCC,2.1300936,3.06E-17
NPAS1,2.3002446,3.33E-17
ADGRG6,2.6523807,1.46E-16
GREM1,2.2814684,2.50E-16
AC092171.5,2.2148216,5.34E-16
KCNK5,2.0436418,7.03E-16
SCUBE1,2.816869,1.68E-15
SERPINA11,2.060617,1.91E-15
SPATA1,2.1799977,4.13E-15
AL713866.1,4.0257926,1.23E-14
HIST1H2BG,2.4632406,9.98E-15
AL121790.1,2.9789968,4.17E-14
PLCE1,2.1805274,3.46E-14
KIF15,2.0217006,4.00E-14
SLX1A,2.4472451,7.59E-14
TRPA1,2.618406,2.41E-13
C1orf116,2.4289231,2.36E-13
RBM11,2.1914482,3.05E-13
MND1,2.0944536,8.07E-13
